Paper source,License source name,License source URL,License description
USGS,U.S Geological Survey publication warehouse,https://pubs.usgs.gov/documentation/faq#WhatcanIfindinPublicationsWarehouse,"""USGS-authored or produced data and information are in the public domain. While the content of most USGS web pages and reports are in the public domain, not all information, illustrations, or photographs are. Some are used by USGS with permission. For other uses, you may need to obtain permission from the copyright holder under the copyright law"""
NOAA,NOAA institutional repository,https://repository.library.noaa.gov/Content%20and%20Copyright,"""Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however, it is requested that in any subsequent uses of this work, NOAA be given appropriate acknowledgement."""
US NPS,NPS DataStore,https://www.nps.gov/aboutus/disclaimer.htm,"""Copyright law does not protect “any work of the U.S. Government” where “a work prepared by an officer or employee of the U.S. Government as part of that person's official duties” (See, 17 U.S.C. §§ 101, 105). Thus, material created by the NPS and presented on this website, unless otherwise indicated, is generally considered in the public domain. It may be distributed or copied as permitted by applicable law."""
CFWS,California Fish and Wildlife scientific journal,https://journal.wildlife.ca.gov/2024/11/04/cover-and-front-matter-10/,"""The California Fish and Wildlife Journal is published quarterly by the California Department of Fish and Wildlife. It is a journal devoted to the conservation and understanding of the flora and fauna of California and surrounding areas. If its contents are reproduced elsewhere, the authors and the California Department of Fish and Wildlife should be acknowledged."""
Fish & Wildlife Management,The Journal of Fush and Wildlife Management,https://meridian.allenpress.com/jfwm/pages/Editorial_Board,"""All material appearing in the Journal of Fish and Wildlife Management is in the public domain, unless noted with the copyright symbol, and may be reproduced or copied without permission."""
PLOS One,PLOS ONE journal,https://journals.plos.org/plosone/s/licenses-and-copyright,"""PLOS applies the Creative Commons Attribution 4.0 International (CC BY) license, or other comparable licenses that allow free and unrestricted use, to articles and other works we publish. If you submit your paper for publication by PLOS, you agree to have the CC BY license applied to your work."""
BMC Eco Evo,BCM Ecology and Evolution journal,https://bmcecolevol.biomedcentral.com/submission-guidelines/copyright,"""BMC Ecology and Evolution articles are published open access under a CC BY-NC-ND (Creative Commons Attribution Non-Commercial No Derivatives 4.0 International licence) or CC BY (Creative Commons Attribution 4.0 International licence) licence."""
Frontiers Eco Evo,Frontiers in Ecology and Evolution journal,https://www.frontiersin.org/journals/ecology-and-evolution/about#about-open,"""Frontiers is fully compliant with open access mandates, by publishing its articles under the Creative Commons Attribution licence (CC-BY)."""
ESA,Ecosphere journal,https://esajournals.onlinelibrary.wiley.com/hub/journal/21508925/open-access,"""Ecosphere is an Open Access journal: authors of accepted articles pay an article publication charge, and their articles are published under a Creative Commons license. All authors must use the CC BY Creative Commons License."""
Nature journals,Nature portfolio,https://www.nature.com/nature-portfolio/open-access,"""We are fully committed to open research and the benefits this brings for researchers, institutions, funders and the wider public. For authors who wish to publish their research open access, the Nature Portfolio offers open access options for all primary research."""
